name,CD,hausdorff,p2f avg,p2f std,uniform_0,uniform_1
m333.xyz,0.23323916,1.7817644,0.0017453429,0.002525047,-,-
statue_dragon_aligned.xyz,0.39338106,335.50607,0.0032264674,0.0046128444,-,-
camel.xyz,0.17784792,1.7275373,0.0018634493,0.0030821885,-,-
eight.xyz,0.3079443,1.9957634,0.0010663794,0.0010667227,-,-
cow.xyz,0.23997055,1.9425105,0.001702803,0.0023847425,-,-
genus3.xyz,0.29336485,1.8281126,0.0017737988,0.0040549044,-,-
m355.xyz,0.34744045,1.6141939,0.0018506285,0.0022641066,-,-
m88.xyz,0.10009743,1.8883853,0.0013736812,0.0020709934,-,-
kitten.xyz,0.23431128,1.7288191,0.0013057545,0.0016823261,-,-
elephant.xyz,0.1669949,1.9507616,0.0020407639,0.003912061,-,-
pig.xyz,0.19054404,1.8250514,0.0012063506,0.002096582,-,-
elk.xyz,0.20951867,1.7734227,0.002343159,0.0038393543,-,-
horse.xyz,0.23247421,1.6027607,0.0014269326,0.0021485954,-,-
11509_Panda_v4.xyz,0.62403584,2.1010804,0.001836051,0.00282108,-,-
Gramme_aligned.xyz,0.23598032,2.160779,0.0031928776,0.0048328023,-,-
statue_rome_aligned.xyz,0.2613505,2.195558,0.0020699895,0.0030450537,-,-
13770_Tiger_V1.xyz,0.122542575,1.7720325,0.0010483474,0.001524901,-,-
coverrear_Lp.xyz,0.265039,1.728013,0.0020935147,0.004802129,-,-
m32.xyz,0.10492853,1.6921725,0.0011291933,0.001944733,-,-
m60.xyz,0.09918709,1.8791142,0.001359722,0.0023189082,-,-
casting.xyz,0.2322902,1.773288,0.006942339,0.009624103,-,-
duck.xyz,0.31529155,1.9241467,0.0015735806,0.0021889827,-,-
fandisk.xyz,0.18130285,1.5966995,0.0014815065,0.0030499578,-,-
star.xyz,0.39820853,1.9966142,0.001088942,0.00093737245,-,-
statue_ramesses_aligned.xyz,0.20795652,2.4445915,0.0021344926,0.00330383,-,-
chair.xyz,0.1722532,1.8517829,0.003499543,0.004363401,-,-
m329.xyz,0.2758636,1.9821253,0.0013500226,0.0017742823,-,-
-,0.24530959543254643,14.231968654526604,0.0019898387,0.0036720084,-,-
